Term,Description
AMPHIBIANS,"VERTEBRATES belonging to the class amphibia such as frogs, toads, newts and salamanders that live in a semiaquatic environment.
    "
AMPICILLIN,"Semi-synthetic derivative of penicillin that functions as an orally active broad-spectrum antibiotic.
    "
AMPROLIUM,"A veterinary coccidiostat that interferes with THIAMINE metabolism.
    "
AMPUTEES,"Persons who have lost part of, or all of, a limb or other appendage of their body.
    "
AMPYRONE,"A metabolite of AMINOPYRINE with analgesic and anti-inflammatory properties. It is used as a reagent for biochemical reactions producing peroxides or phenols. Ampyrone stimulates LIVER MICROSOMES and is also used to measure extracellular water.
    "
AMRINONE,"A positive inotropic cardiotonic (CARDIOTONIC AGENTS) with vasodilator properties, phosphodiesterase 3 inhibitory activity, and the ability to stimulate calcium ion influx into the cardiac cell.
    "
AMSACRINE,"An aminoacridine derivative that intercalates into DNA and is used as an antineoplastic agent.
    "
AMYGDALIN,"A cyanogenic glycoside found in the seeds of Rosaceae.
    "
AMYGDALA,"Almond-shaped group of basal nuclei anterior to the INFERIOR HORN OF THE LATERAL VENTRICLE of the TEMPORAL LOBE. The amygdala is part of the limbic system.
    "
AMYLASES,"A group of amylolytic enzymes that cleave starch, glycogen, and related alpha-1,4-glucans. (Stedman, 25th ed) EC 3.2.1.-.
    "
AMYLOID,"A fibrous protein complex that consists of proteins folded into a specific cross beta-pleated sheet structure. This fibrillar structure has been found as an alternative folding pattern for a variety of functional proteins. Deposits of amyloid in the form of AMYLOID PLAQUES are associated with a variety of degenerative diseases. The amyloid structure has also been found in a number of functional proteins that are unrelated to disease.
    "
AMYLOIDOSIS,"A group of sporadic, familial and/or inherited, degenerative, and infectious disease processes, linked by the common theme of abnormal protein folding and deposition of AMYLOID. As the amyloid deposits enlarge they displace normal tissue structures, causing disruption of function. Various signs and symptoms depend on the location and size of the deposits.
    "
AMYLOPECTIN,"A highly branched glucan in starch.
    "
AMYLOSE,"An unbranched glucan in starch.
    "
ANABASINE,"A piperidine botanical insecticide.
    "
ANAEROBIOSIS,"The complete absence, or (loosely) the paucity, of gaseous or dissolved elemental oxygen in a given place or environment. (From Singleton & Sainsbury, Dictionary of Microbiology and Molecular Biology, 2d ed)
    "
ANALGESIA,"Methods of PAIN relief that may be used with or in place of ANALGESICS.
    "
ANALGESICS,"Compounds capable of relieving pain without the loss of CONSCIOUSNESS.
    "
ANAPHASE,"The phase of cell nucleus division following METAPHASE, in which the CHROMATIDS separate and migrate to opposite poles of the spindle.
    "
ANAPHYLATOXINS,"Serum peptides derived from certain cleaved COMPLEMENT PROTEINS during COMPLEMENT ACTIVATION. They induce smooth MUSCLE CONTRACTION; mast cell HISTAMINE RELEASE; PLATELET AGGREGATION; and act as mediators of the local inflammatory process. The order of anaphylatoxin activity from the strongest to the weakest is C5a, C3a, C4a, and C5a des-arginine.
    "
ANAPHYLAXIS,"An acute hypersensitivity reaction due to exposure to a previously encountered ANTIGEN. The reaction may include rapidly progressing URTICARIA, respiratory distress, vascular collapse, systemic SHOCK, and death.
    "
ANAPLASIA,"Loss of structural differentiation and useful function of neoplastic cells.
    "
ANAPLASMA,"A genus of gram-negative bacteria whose organisms are obligate parasites of vertebrates. Species are transmitted by arthropod vectors with the host range limited to ruminants. Anaplasma marginale is the most pathogenic species and is the causative agent of severe bovine anaplasmosis.
    "
ANAPLASMATACEAE,"A family of bacteria in the order RICKETTSIALES which inhabit RED BLOOD CELLS and other types of cells, causing disease in both animals and humans.
    "
ANAPLASMOSIS,"A disease usually in cattle caused by parasitization of the red blood cells by bacteria of the genus ANAPLASMA.
    "
ANATOMY,"A branch of biology dealing with the structure of organisms.
    "
ANCROD,"An enzyme fraction from the venom of the Malayan pit viper, Agkistrodon rhodostoma. It catalyzes the hydrolysis of a number of amino acid esters and a limited proteolysis of fibrinogen. It is used clinically to produce controlled defibrination in patients requiring anticoagulant therapy. EC 3.4.21.-.
    "
ANCYLOSTOMA,"A genus of nematode intestinal parasites that consists of several species. A. duodenale is the common hookworm in humans. A. braziliense, A. ceylonicum, and A. caninum occur primarily in cats and dogs, but all have been known to occur in humans.
    "
ANCYLOSTOMATOIDEA,"A superfamily of nematode parasitic hookworms consisting of four genera: ANCYLOSTOMA; NECATOR; Bunostomum; and Uncinaria. ANCYLOSTOMA and NECATOR occur in humans and other mammals. Bunostomum is common in ruminants and Uncinaria in wolves, foxes, and dogs.
    "
ANCYLOSTOMIASIS,"Infection of humans or animals with hookworms of the genus ANCYLOSTOMA. Characteristics include anemia, dyspepsia, eosinophilia, and abdominal swelling.
    "
ANDORRA,"A principality in the Pyrenees between France and Spain. Its capital is also called Andorra. (From Webster's New Geographical Dictionary, 1988, p50)
    "
ANDROGENS,"Compounds that interact with ANDROGEN RECEPTORS in target tissues to bring about the effects similar to those of TESTOSTERONE. Depending on the target tissues, androgenic effects can be on SEX DIFFERENTIATION; male reproductive organs, SPERMATOGENESIS; secondary male SEX CHARACTERISTICS; LIBIDO; development of muscle mass, strength, and power.
    "
ANDROSTADIENES,"Derivatives of the steroid androstane having two double bonds at any site in any of the rings.
    "
ANDROSTANES,"The family of steroids from which the androgens are derived.
    "
ANDROSTANOLS,"Androstanes and androstane derivatives which are substituted in any position with one or more hydroxyl groups.
    "
ANDROSTATRIENES,"Derivatives of the steroid androstane having three double bonds at any site in any of the rings.
    "
ANDROSTENEDIOLS,"Unsaturated androstane derivatives which are substituted with two hydroxy groups in any position in the ring system.
    "
ANDROSTENEDIONE,"A delta-4 C19 steroid that is produced not only in the TESTIS, but also in the OVARY and the ADRENAL CORTEX. Depending on the tissue type, androstenedione can serve as a precursor to TESTOSTERONE as well as ESTRONE and ESTRADIOL.
    "
ANDROSTENES,"Unsaturated derivatives of the steroid androstane containing at least one double bond at any site in any of the rings.
    "
ANDROSTENOLS,"Unsaturated androstanes which are substituted with one or more hydroxyl groups in any position in the ring system.
    "
ANDROSTERONE,"A metabolite of TESTOSTERONE or ANDROSTENEDIONE with a 3-alpha-hydroxyl group and without the double bond. The 3-beta hydroxyl isomer is epiandrosterone.
    "
ANEMIA,"A reduction in the number of circulating ERYTHROCYTES or in the quantity of HEMOGLOBIN.
    "
ANENCEPHALY,"A malformation of the nervous system caused by failure of the anterior neuropore to close. Infants are born with intact spinal cords, cerebellums, and brainstems, but lack formation of neural structures above this level. The skull is only partially formed but the eyes are usually normal. This condition may be associated with folate deficiency. Affected infants are only capable of primitive (brain stem) reflexes and usually do not survive for more than two weeks. (From Menkes, Textbook of Child Neurology, 5th ed, p247)
    "
ANESTHESIA,"A state characterized by loss of feeling or sensation. This depression of nerve function is usually the result of pharmacologic action and is induced to allow performance of surgery or other painful procedures.
    "
ANESTHESIOLOGY,"A specialty concerned with the study of anesthetics and anesthesia.
    "
ANESTHETICS,"Agents capable of inducing a total or partial loss of sensation, especially tactile sensation and pain. They may act to induce general ANESTHESIA, in which an unconscious state is achieved, or may act locally to induce numbness or lack of sensation at a targeted site.
    "
ANESTRUS,"A state of sexual inactivity in female animals exhibiting no ESTROUS CYCLE. Causes of anestrus include pregnancy, presence of offspring, season, stress, and pathology.
    "
ANEUPLOIDY,"The chromosomal constitution of cells which deviate from the normal by the addition or subtraction of CHROMOSOMES, chromosome pairs, or chromosome fragments. In a normally diploid cell (DIPLOIDY) the loss of a chromosome pair is termed nullisomy (symbol: 2N-2), the loss of a single chromosome is MONOSOMY (symbol: 2N-1), the addition of a chromosome pair is tetrasomy (symbol: 2N+2), the addition of a single chromosome is TRISOMY (symbol: 2N+1).
    "
ANEURYSM,"Pathological outpouching or sac-like dilatation in the wall of any blood vessel (ARTERIES or VEINS) or the heart (HEART ANEURYSM). It indicates a thin and weakened area in the wall which may later rupture. Aneurysms are classified by location, etiology, or other characteristics.
    "
ANGER,"A strong emotional feeling of displeasure aroused by being interfered with, injured or threatened.
    "
ANGIOCARDIOGRAPHY,"Radiography of the heart and great vessels after injection of a contrast medium.
    "
ANGIOGRAPHY,"Radiography of blood vessels after injection of a contrast medium.
    "
ANGIOKERATOMA,"A vascular, horny neoplasm of the skin characterized by TELANGIECTASIS and secondary epithelial changes including acanthosis and hyperkeratosis.
    "
ANGIOMATOSIS,"A condition with multiple tumor-like lesions caused either by congenital or developmental malformations of BLOOD VESSELS, or reactive vascular proliferations, such as in bacillary angiomatosis. Angiomatosis is considered non-neoplastic.
    "
ANGIOEDEMA,"Swelling involving the deep DERMIS, subcutaneous, or submucosal tissues, representing localized EDEMA. Angioedema often occurs in the face, lips, tongue, and larynx.
    "
ANGIOSTRONGYLUS,"A genus of parasitic nematodes of the superfamily METASTRONGYLOIDEA. Two species, ANGIOSTRONGYLUS CANTONENSIS and A. vasorum, infest the lungs of rats and dogs, respectively. A. cantonensis is transmissible to man where it causes frequently fatal infection of the central nervous system.
    "
ANGIOTENSINOGEN,"An alpha-globulin of about 453 amino acids, depending on the species. It is produced by the liver in response to lowered blood pressure and secreted into blood circulation. Angiotensinogen is the inactive precursor of the ANGIOTENSINS produced in the body by successive enzyme cleavages. Cleavage of angiotensinogen by RENIN yields the decapeptide ANGIOTENSIN I. Further cleavage of angiotensin I (by ANGIOTENSIN CONVERTING ENZYME) yields the potent vasoconstrictor octapeptide ANGIOTENSIN II; and then, via other enzymes, other angiotensins also involved in the hemodynamic-regulating RENIN-ANGIOTENSIN SYSTEM.
    "
ANGIOTENSINS,"Oligopeptides which are important in the regulation of blood pressure (VASOCONSTRICTION) and fluid homeostasis via the RENIN-ANGIOTENSIN SYSTEM. These include angiotensins derived naturally from precursor ANGIOTENSINOGEN, and those synthesized.
    "
ANGOLA,"A republic in southern Africa, southwest of DEMOCRATIC REPUBLIC OF THE CONGO and west of ZAMBIA. Its capital is Luanda.
    "
ANGUILLA,"A genus in the Family Anguillidae, Order Anguilliformes, that includes fresh water eels.
    "
ANHYDRIDES,"Chemical compounds derived from acids by the elimination of a molecule of water.
    "
ANILIDES,"Any aromatic amide obtained by acylation of aniline.
    "
ANIMALS,"Unicellular or multicellular, heterotrophic organisms, that have sensation and the power of voluntary movement. Under the older five kingdom paradigm, Animalia was one of the kingdoms. Under the modern three domain model, Animalia represents one of the many groups in the domain EUKARYOTA.
    "
METAZOA,"A division of multicellular organisms that was a subkingdom under Animalia in the old five kingdom paradigm.
    "
ANIONS,"Negatively charged atoms, radicals or groups of atoms which travel to the anode or positive pole during electrolysis.
    "
ANISEIKONIA,"A condition in which the ocular image of an object as seen by one eye differs in size and shape from that seen by the other.
    "
ANISOLES,"A group of compounds that are derivatives of methoxybenzene and contain the general formula R-C7H7O.
    "
ANISOMYCIN,"An antibiotic isolated from various Streptomyces species. It interferes with protein and DNA synthesis by inhibiting peptidyl transferase or the 80S ribosome system.
    "
ANKLE,"The region of the lower limb between the FOOT and the LEG.
    "
ANKYLOSIS,"Fixation and immobility of a joint.
    "
ANNELIDA,"A phylum of metazoan invertebrates comprising the segmented worms, and including marine annelids (POLYCHAETA), freshwater annelids, earthworms (OLIGOCHAETA), and LEECHES. Only the leeches are of medical interest. (Dorland, 27th ed)
    "
ANODONTIA,"Congenital absence of the teeth. It may involve all (total anodontia) or only some of the teeth (partial anodontia, hypodontia), or six or more of the teeth (oligodontia) and both the deciduous and the permanent dentition, or only teeth of the permanent dentition.
    "
ANOMIA,"A language dysfunction characterized by the inability to name people and objects that are correctly perceived. The individual is able to describe the object in question, but cannot provide the name. This condition is associated with lesions of the dominant hemisphere involving the language areas, in particular the TEMPORAL LOBE. (From Adams et al., Principles of Neurology, 6th ed, p484)
    "
ANOMIE,"A state of social disorganization and demoralization in society which is largely the result of disharmony between cultural goals and the means for attaining them. This may be reflected in the behavior of the individual in many ways - non-conformity, social withdrawal, deviant behavior, etc.
    "
ANOPHELES,"A genus of mosquitoes (CULICIDAE) that are known vectors of MALARIA.
    "
ANOPHTHALMOS,"Congenital absence of the eye or eyes.
    "
ANOPLURA,"An order of insects comprising the sucking lice, which are blood-sucking ectoparasites of mammals. Recognized families include: Echinphthiriidae, Haematopinidae, and Pediculidae. The latter contains the medically important genera affecting humans: PEDICULUS and PHTHIRUS.
    "
ANOREXIA,"The lack or loss of APPETITE accompanied by an aversion to food and the inability to eat. It is the defining characteristic of the disorder ANOREXIA NERVOSA.
    "
ANOVULATION,"Suspension or cessation of OVULATION in animals or humans with follicle-containing ovaries (OVARIAN FOLLICLE). Depending on the etiology, OVULATION may be induced with appropriate therapy.
    "
HYPOXIA,"Sub-optimal OXYGEN levels in the ambient air of living organisms.
    "
ANOXIA,"Relatively complete absence of oxygen in one or more tissues.
    "
ANSERINE,"A dipeptide containing BETA-ALANINE.
    "
ANTACIDS,"Substances that counteract or neutralize acidity of the GASTROINTESTINAL TRACT.
    "
ANTAZOLINE,"An antagonist of histamine H1 receptors.
    "
ANTELOPES,"Any of various ruminant mammals of the order Bovidae. They include numerous species in Africa and the American pronghorn.
    "
ANTHELMINTICS,"Agents that kill parasitic worms. They are used therapeutically in the treatment of HELMINTHIASIS in man and animal.
    "
ANTHOCYANINS,"A group of FLAVONOIDS derived from FLAVONOLS, which lack the ketone oxygen at the 4-position. They are glycosylated versions of cyanidin, pelargonidin or delphinidin. The conjugated bonds result in blue, red, and purple colors in flowers of plants.
    "
ANTHOCYANIDINS,"The aglycone form of anthocyanins.
    "
LEUCOANTHOCYANIDINS,"Compounds at the intermediate chemical step between flavonols and anthocyanidins.
    "
ANTHRACENES,"A group of compounds with three aromatic rings joined in linear arrangement.
    "
ANTHRACOSILICOSIS,"A form of pneumoconiosis caused by inhalation of dust that contains both CARBON and crystalline SILICON DIOXIDE. These foreign matters induce fibrous nodule formation in the lung.
    "
ANTHRALIN,"An anthracene derivative that disrupts function and structure of MITOCHONDRIA and is used for the treatment of DERMATOSES, especially PSORIASIS. It may cause FOLLICULITIS.
    "
ANTHRAMYCIN,"A broad-spectrum spectrum antineoplastic antibiotic isolated from Streptomyces refuineus var. thermotolerans. It has low toxicity, some activity against Trichomonas and Endamoeba, and inhibits RNA and DNA synthesis. It binds irreversibly to DNA.
    "
ANTHRAQUINONES,"Compounds based on ANTHRACENES which contain two KETONES in any position. Substitutions can be in any position except on the ketone groups.
    "
DIANTHRONES,"Dimers formed by the oxidative coupling of two anthraquinones.
    "
ANTHRAX,"An acute infection caused by the spore-forming bacteria BACILLUS ANTHRACIS. It commonly affects hoofed animals such as sheep and goats. Infection in humans often involves the skin (cutaneous anthrax), the lungs (inhalation anthrax), or the gastrointestinal tract. Anthrax is not contagious and can be treated with antibiotics.
    "
HAPLORHINI,"A suborder of PRIMATES consisting of six families: CEBIDAE (some New World monkeys), ATELIDAE (some New World monkeys), CERCOPITHECIDAE (Old World monkeys), HYLOBATIDAE (gibbons and siamangs), CALLITRICHINAE (marmosets and tamarins), and HOMINIDAE (humans and great apes).
    "
MONKEYS,"A non-taxonomic, non-specific term for the smaller longer-tailed PRIMATES.
    "
ANTHROPOLOGY,"The science devoted to the comparative study of man.
    "
ANTHROPOMETRY,"The technique that deals with the measurement of the size, weight, and proportions of the human or other primate body.
    "
ANTHROPOSOPHY,"Knowledge of the nature of man. A spiritual and mystical doctrine that grew out of theosophy and derives mainly from the philosophy of Rudolph Steiner, Austrian social philosopher (1861-1925). (Webster, 3d ed)
    "
MICROBICIDES,"Generically, any agent that destroys microbes. However, usage of the term is increasingly being confined to agents that prevent or reduce the transmission of SEXUALLY TRANSMITTED DISEASES.
    "
ANTIBIOSIS,"A natural association between organisms that is detrimental to at least one of them. This often refers to the production of chemicals by one microorganism that is harmful to another.
    "
AURODOX,"Antibiotic obtained from a Streptomyces variant considered as possibly effective against Streptococcus pyogenes infections. It may promote growth in poultry.
    "
ANTIBIOTICS,"Substances produced by microorganisms that can inhibit or suppress the growth of other microorganisms.
    "
ANTIBODIES,"Immunoglobulin molecules having a specific amino acid sequence by virtue of which they interact only with the ANTIGEN (or a very similar shape) that induced their synthesis in cells of the lymphoid series (especially PLASMA CELLS).
    "
IMMUNOTOXINS,"Semisynthetic conjugates of various toxic molecules, including RADIOACTIVE ISOTOPES and bacterial or plant toxins, with specific immune substances such as IMMUNOGLOBULINS; MONOCLONAL ANTIBODIES; and ANTIGENS. The antitumor or antiviral immune substance carries the toxin to the tumor or infected cell where the toxin exerts its poisonous effect.
    "
ANTICOAGULANTS,"Agents that prevent BLOOD CLOTTING.
    "
ANTICODON,"The sequential set of three nucleotides in TRANSFER RNA that interacts with its complement in MESSENGER RNA, the CODON, during translation in the ribosome.
    "
ANTICONVULSANTS,"Drugs used to prevent SEIZURES or reduce their severity.
    "
ANTIDIARRHEALS,"Miscellaneous agents found useful in the symptomatic treatment of diarrhea. They have no effect on the agent(s) that cause diarrhea, but merely alleviate the condition.
    "
ANTIDOTES,"Agents counteracting or neutralizing the action of POISONS.
    "
ANTIEMETICS,"Drugs used to prevent NAUSEA or VOMITING.
    "
EPITOPES,"Sites on an antigen that interact with specific antibodies.
    "
ANTIGENS,"Substances that are recognized by the immune system and induce an immune reaction.
    "
ANTIGUA,"An island in the Lesser Antilles, one of the Leeward Islands. With Barbuda and Redonda, an uninhabited island, it constitutes the independent state of Antigua and Barbuda. Its capital is St. Johns.
    "
ANTIMALARIALS,"Agents used in the treatment of malaria. They are usually classified on the basis of their action against plasmodia at different stages in their life cycle in the human. (From AMA, Drug Evaluations Annual, 1992, p1585)
    "
ANTIMETABOLITES,"Drugs that are chemically similar to naturally occurring metabolites, but differ enough to interfere with normal metabolic pathways. (From AMA Drug Evaluations Annual, 1994, p2033)
    "
ANTIMONY,"A metallic element that has the atomic symbol Sb, atomic number 51, and atomic weight 121.75. It is used as a metal alloy and as medicinal and poisonous salts. It is toxic and an irritant to the skin and the mucous membranes.
    "
ANTIOXIDANTS,"Naturally occurring or synthetic substances that inhibit or retard oxidation reactions. They counteract the damaging effects of oxidation in animal tissues.
    "
ANTIPAIN,"An oligopeptide produced by various bacteria which acts as a protease inhibitor.
    "
SCHIZONTICIDES,"Substances that inhibit the SCHIZONTS stage of protozoa. There is particular interest in them as ANTIMALARIALS.
    "
ANTIPRURITICS,"Agents, usually topical, that relieve itching (pruritus).
    "
ANTIPYRINE,"An analgesic and antipyretic that has been given by mouth and as ear drops. Antipyrine is often used in testing the effects of other drugs or diseases on drug-metabolizing enzymes in the liver. (From Martindale, The Extra Pharmacopoeia, 30th ed, p29)
    "
ANTISEPSIS,"The destruction of germs causing disease.
    "
ANTISTREPTOLYSIN,"Antibodies specific to STREPTOLYSINS which indicate STREPTOCOCCAL INFECTIONS.
    "
ANTITHROMBINS,"Endogenous factors and drugs that directly inhibit the action of THROMBIN, usually by blocking its enzymatic activity. They are distinguished from INDIRECT THROMBIN INHIBITORS, such as HEPARIN, which act by enhancing the inhibitory effects of antithrombins.
    "
ANTITOXINS,"Antisera from immunized animals that is purified and used as a passive immunizing agent against specific BACTERIAL TOXINS.
    "
ANTIVENINS,"Antisera used to counteract poisoning by animal VENOMS, especially SNAKE VENOMS.
    "
ANTLERS,"The horn of an animal of the deer family, typically present only in the male. It differs from the HORNS of other animals in being a solid, generally branched bony outgrowth that is shed and renewed annually. The word antler comes from the Latin anteocularis, ante (before) + oculus (eye). (From Webster, 3d ed)
    "
ANTS,"Insects of the family Formicidae, very common and widespread, probably the most successful of all the insect groups. All ants are social insects, and most colonies contain three castes, queens, males, and workers. Their habits are often very elaborate and a great many studies have been made of ant behavior. Ants produce a number of secretions that function in offense, defense, and communication. (From Borror, et al., An Introduction to the Study of Insects, 4th ed, p676)
    "
ANURA,"An order of the class Amphibia, which includes several families of frogs and toads. They are characterized by well developed hind limbs adapted for jumping, fused head and trunk and webbed toes. The term toad is ambiguous and is properly applied only to the family Bufonidae.
    "
ANURIA,"Absence of urine formation. It is usually associated with complete bilateral ureteral (URETER) obstruction, complete lower urinary tract obstruction, or unilateral ureteral obstruction when a solitary kidney is present.
    "
ANUS,"The external outlet of the GASTROINTESTINAL TRACT.
    "
ANXIETY,"Feelings or emotions of dread, apprehension, and impending disaster but not disabling as with ANXIETY DISORDERS.
    "
HYPERVIGILANCE,"Condition of elevated sensory sensitivity, perception of risk of threats, and low threshold for stimuli.
    "
AORTA,"The main trunk of the systemic arteries.
    "
AORTITIS,"Inflammation of the wall of the AORTA.
    "
AORTOGRAPHY,"Radiographic visualization of the aorta and its branches by injection of contrast media, using percutaneous puncture or catheterization procedures.
    "
APAMIN,"A highly neurotoxic polypeptide from the venom of the honey bee (Apis mellifera). It consists of 18 amino acids with two disulfide bridges and causes hyperexcitability resulting in convulsions and respiratory paralysis.
    "
APATITES,"A group of phosphate minerals that includes ten mineral species and has the general formula X5(YO4)3Z, where X is usually calcium or lead, Y is phosphorus or arsenic, and Z is chlorine, fluorine, or OH-. (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)
    "
APAZONE,"An anti-inflammatory agent used in the treatment of rheumatoid arthritis. It also has uricosuric properties and has been used to treat gout.
    "
APHAKIA,"Absence of crystalline lens totally or partially from field of vision, from any cause except after cataract extraction. Aphakia is mainly congenital or as result of LENS DISLOCATION AND SUBLUXATION.
    "
APHASIA,"A cognitive disorder marked by an impaired ability to comprehend or express language in its written or spoken form. This condition is caused by diseases which affect the language areas of the dominant hemisphere. Clinical features are used to classify the various subtypes of this condition. General categories include receptive, expressive, and mixed forms of aphasia.
    "
APHIDS,"A family (Aphididae) of small insects, in the suborder Sternorrhyncha, that suck the juices of plants. Important genera include Schizaphis and Myzus. The latter is known to carry more than 100 virus diseases between plants.
    "
APHONIA,"Complete loss of phonation due to organic disease of the larynx or to nonorganic (i.e., psychogenic) causes.
    "
APHRODISIACS,"Chemical agents or ODORANTS that stimulate sexual desires. (McGraw-Hill Dictionary of Scientific and Technical Terms, 4th ed)
    "
APICOECTOMY,"Excision of the apical portion of a tooth through an opening made in the overlying labial, buccal, or palatal alveolar bone. (Dorland, 28th ed)
    "
APLYSIA,"An opisthobranch mollusk of the order Anaspidea. It is used frequently in studies of nervous system development because of its large identifiable neurons. Aplysiatoxin and its derivatives are not biosynthesized by Aplysia, but acquired by ingestion of Lyngbya (seaweed) species.
    "
APNEA,"A transient absence of spontaneous respiration.
    "
APOENZYMES,"The protein components of enzyme complexes (HOLOENZYMES). An apoenzyme is the holoenzyme minus any cofactors (ENZYME COFACTORS) or prosthetic groups required for the enzymatic function.
    "
APOFERRITINS,"The protein components of ferritins. Apoferritins are shell-like structures containing nanocavities and ferroxidase activities. Apoferritin shells are composed of 24 subunits, heteropolymers in vertebrates and homopolymers in bacteria. In vertebrates, there are two types of subunits, light chain and heavy chain. The heavy chain contains the ferroxidase activity.
    "
APOLIPOPROTEINS,"Protein components on the surface of LIPOPROTEINS. They form a layer surrounding the hydrophobic lipid core. There are several classes of apolipoproteins with each playing a different role in lipid transport and LIPID METABOLISM. These proteins are synthesized mainly in the LIVER and the INTESTINES.
    "
APOMORPHINE,"A derivative of morphine that is a dopamine D2 agonist. It is a powerful emetic and has been used for that effect in acute poisoning. It has also been used in the diagnosis and treatment of parkinsonism, but its adverse effects limit its use.
    "
APOPROTEINS,"The protein components of a number of complexes, such as enzymes (APOENZYMES), ferritin (APOFERRITINS), or lipoproteins (APOLIPOPROTEINS).
    "
APORPHINES,"Dibenzoquinolines derived in plants from (S)-reticuline (BENZYLISOQUINOLINES).
    "
APPENDECTOMY,"Surgical removal of the vermiform appendix. (Dorland, 28th ed)
    "
APPENDICITIS,"Acute inflammation of the APPENDIX. Acute appendicitis is classified as simple, gangrenous, or perforated.
    "
APPENDIX,"A worm-like blind tube extension from the CECUM.
    "
APPETITE,"Natural recurring desire for food. Alterations may be induced by APPETITE DEPRESSANTS or APPETITE STIMULANTS.
    "
APRAXIAS,"A group of cognitive disorders characterized by the inability to perform previously learned skills that cannot be attributed to deficits of motor or sensory function. The two major subtypes of this condition are ideomotor (see APRAXIA, IDEOMOTOR) and ideational apraxia, which refers to loss of the ability to mentally formulate the processes involved with performing an action. For example, dressing apraxia may result from an inability to mentally formulate the act of placing clothes on the body. Apraxias are generally associated with lesions of the dominant PARIETAL LOBE and supramarginal gyrus. (From Adams et al., Principles of Neurology, 6th ed, pp56-7)
    "
APRINDINE,"A class Ib anti-arrhythmia agent used to manage ventricular and supraventricular arrhythmias.
    "
PROPOXUR,"A carbamate insecticide.
    "
APTITUDE,"The ability to acquire general or special types of knowledge or skill.
    "
APUDOMA,"A general term collectively applied to tumors associated with the APUD CELLS series, irrespective of their specific identification.
    "
APYRASE,"A calcium-activated enzyme that catalyzes the hydrolysis of ATP to yield AMP and orthophosphate. It can also act on ADP and other nucleoside triphosphates and diphosphates. EC 3.6.1.5.
    "
ARABIA,"The great peninsula of southwest Asia comprising most of the present countries of the Middle East. It has been known since the first millennium B.C. In early times it was divided into Arabia Petraea, the northwest part, the only part ever conquered, becoming a Roman province; Arabia Deserta, the northern part between Syria and Mesopotamia; and Arabia Felix, the main part of the peninsula but by some geographers restricted to modern Yemen. (From Webster's New Geographical Dictionary, 1988, p63)
    "
ARABINOFURANOSYLURACIL,"A pyrimidine nucleoside formed in the body by the deamination of CYTARABINE.
    "
ARABINONUCLEOSIDES,"Nucleosides containing arabinose as their sugar moiety.
    "
ARABINONUCLEOTIDES,"Nucleotides containing arabinose as their sugar moiety.
    "
ARACHNIDA,"A class of Arthropoda that includes SPIDERS; TICKS; MITES; and SCORPIONS.
    "
LOXOSCELISM,"A cutaneous condition associated with bite of the recluse spiders including BROWN RECLUSE SPIDER (Loxosceles reclusa).
    "
LATRODECTISM,"A poisoning after envenomation by widow spiders including BLACK WIDOW SPIDER (Latrodectus mactans).
    "
ARACHNOID,"A delicate membrane enveloping the brain and spinal cord. It lies between the PIA MATER and the DURA MATER. It is separated from the pia mater by the subarachnoid cavity which is filled with CEREBROSPINAL FLUID.
    "
ARACHNOIDITIS,"Acute or chronic inflammation of the arachnoid membrane of the meninges most often involving the spinal cord or base of the brain. This term generally refers to a persistent inflammatory process characterized by thickening of the ARACHNOID membrane and dural adhesions. Associated conditions include prior surgery, infections, trauma, SUBARACHNOID HEMORRHAGE, and chemical irritation. Clinical features vary with the site of inflammation, but include cranial neuropathies, radiculopathies, and myelopathies. (From Joynt, Clinical Neurology, 1997, Ch48, p25)
    "
ARBAPROSTIL,"A synthetic prostaglandin E analog that protects the gastric mucosa, prevents ulceration, and promotes healing of peptic ulcers. The protective effect is independent of acid inhibition. It is also a potent inhibitor of pancreatic function and can inhibit the growth of experimental tumors.
    "
ARBOVIRUSES,"Arthropod-borne viruses. A non-taxonomic designation for viruses that can replicate in both vertebrate hosts and arthropod vectors. Included are some members of the following families: ARENAVIRIDAE; BUNYAVIRIDAE; REOVIRIDAE; TOGAVIRIDAE; and FLAVIVIRIDAE. (From Dictionary of Microbiology and Molecular Biology, 2nd ed)
    "
ARCHAEA,"One of the three domains of life (the others being BACTERIA and Eukarya), formerly called Archaebacteria under the taxon Bacteria, but now considered separate and distinct. They are characterized by: (1) the presence of characteristic tRNAs and ribosomal RNAs; (2) the absence of peptidoglycan cell walls; (3) the presence of ether-linked lipids built from branched-chain subunits; and (4) their occurrence in unusual habitats. While archaea resemble bacteria in morphology and genomic organization, they resemble eukarya in their method of genomic replication. The domain contains at least four kingdoms: CRENARCHAEOTA; EURYARCHAEOTA; NANOARCHAEOTA; and KORARCHAEOTA.
    "
ARCHAEOLOGY,"Study of the ancient and recent human or animal past through material remains. It analyzes the physical remains of the past in pursuit of a broad and comprehensive understanding of human culture.
    "
ARCHITECTURE,"Works on the art and science of designing buildings and structures, design of the total built environment, including town planning, urban design, and landscape architecture.
    "
ARCHIVES,"A collection of historical documents or records providing information about places, institutions, or groups of people; also the place where such records are kept.
    "
